City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,sibulan,PH,9.3584,123.285,82.94,76,88,4.59,overcast clouds
82,tecoanapa,MX,16.5167,-98.75,83.21,71,19,8.95,few clouds
83,saint-philippe,RE,-21.3585,55.7679,69.39,88,83,13.35,light rain
84,san patricio,US,28.017,-97.5169,95.72,57,42,20.4,scattered clouds
85,kangasala,FI,61.4638,24.076,55.33,77,65,8.41,broken clouds
86,dudinka,RU,69.4058,86.1778,61.63,45,97,8.19,overcast clouds
87,chapais,CA,49.7834,-74.8492,56.98,98,98,4.25,overcast clouds
88,port elizabeth,ZA,-33.918,25.5701,72.32,33,0,4.61,clear sky
89,rikitea,PF,-23.1203,-134.9692,73.31,71,47,10.36,scattered clouds
90,itoman,JP,26.1247,127.6694,82.78,100,75,17.27,broken clouds
91,port keats,AU,-14.25,129.55,71.53,23,4,14.16,clear sky
92,arraial do cabo,BR,-22.9661,-42.0278,67.93,63,100,22.3,overcast clouds
93,puerto ayora,EC,-0.7393,-90.3518,76.96,93,52,8.99,broken clouds
94,huarmey,PE,-10.0681,-78.1522,64.81,81,12,11.12,few clouds
95,takapau,NZ,-40.0333,176.35,46.89,76,46,16.2,scattered clouds
96,carutapera,BR,-1.195,-46.02,75.61,86,54,5.5,broken clouds
97,miraflores,MX,19.2167,-98.8083,75.96,55,91,1.28,overcast clouds
98,lisakovsk,KZ,52.5369,62.4936,53.04,92,20,9.01,light rain
99,iqaluit,CA,63.7506,-68.5145,42.53,60,100,15.01,overcast clouds
100,saint george,US,37.1041,-113.5841,105.64,5,0,27.63,haze
101,paamiut,GL,61.994,-49.6678,35.6,79,83,24.52,broken clouds
102,birao,CF,10.2849,22.7882,74.35,81,100,3.65,overcast clouds
103,salalah,OM,17.0151,54.0924,86.09,84,75,3.44,broken clouds
104,faanui,PF,-16.4833,-151.75,79.72,75,48,23.35,scattered clouds
105,vestmannaeyjar,IS,63.4427,-20.2734,46.72,91,100,13.09,overcast clouds
106,shelburne,CA,44.0787,-80.2041,61.23,78,98,6.44,overcast clouds
107,kruisfontein,ZA,-34.0033,24.7314,64.81,44,100,3.91,overcast clouds
108,nenjiang,CN,49.1833,125.2167,62.94,91,100,12.46,overcast clouds
109,amuntai,ID,-2.4177,115.2494,76.01,92,100,1.45,overcast clouds
110,victoria,HK,22.2855,114.1577,85.96,85,100,11.01,overcast clouds
111,narasannapeta,IN,18.4167,84.05,82.15,71,79,4.85,broken clouds
112,hami,CN,42.8,93.45,82.47,9,0,10.42,clear sky
113,irara,BR,-12.05,-38.7667,68.34,96,7,5.66,clear sky
114,dingle,PH,10.9995,122.6711,82.78,78,74,3.31,broken clouds
115,upernavik,GL,72.7868,-56.1549,30.0,76,89,7.11,overcast clouds
116,tiksi,RU,71.6872,128.8694,44.37,70,50,4.72,scattered clouds
117,yellowknife,CA,62.456,-114.3525,68.52,45,75,8.05,broken clouds
118,ponta do sol,PT,32.6667,-17.1,69.71,81,6,1.43,clear sky
119,rey bouba,CM,8.6724,14.1786,76.57,78,84,3.94,broken clouds
120,camacha,PT,33.0833,-16.3333,63.82,77,40,8.05,scattered clouds
121,palana,RU,59.1167,159.9667,38.95,94,100,7.38,light rain
122,balagunan,PH,7.4922,125.5211,79.56,82,74,3.38,broken clouds
123,puerto del rosario,ES,28.5004,-13.8627,71.35,78,75,13.8,broken clouds
124,luoyang,CN,34.6836,112.4536,79.5,45,19,7.85,few clouds
125,mount gambier,AU,-37.8333,140.7667,53.85,71,97,0.74,overcast clouds
126,buraydah,SA,26.326,43.975,88.25,11,0,7.52,clear sky
