City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
75,226,maragogi,BR,76.01,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
76,232,teknaf,BD,79.95,broken clouds,20.8624,92.3058,Forestry Guesthouse
77,233,pucallpa,PE,77.04,few clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
78,234,carnduff,CA,75.38,overcast clouds,49.1667,-101.8009,Western Star All Suites Hotel Carnduff
79,236,camden,US,76.05,broken clouds,39.7835,-74.9663,Lindenwold Lodge
80,240,huangchuan,CN,75.69,overcast clouds,32.1272,115.0394,Guangzhou International Hotel
81,241,saint pete beach,US,86.2,few clouds,27.7253,-82.7412,Sirata Beach Resort
82,244,thompson,CA,75.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
83,246,bougouni,ML,81.39,broken clouds,11.417,-7.479,Non Stop
84,248,namatanai,PG,84.36,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
85,249,sorong,ID,79.95,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
86,250,moroni,KM,74.75,scattered clouds,-11.7022,43.2551,Hotel Les Arcades
87,251,nikolayevsk-na-amure,RU,76.53,scattered clouds,53.1406,140.73,Mini-hotel «Quiet Harbor»
89,255,tuy hoa,VN,79.57,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
90,261,bonita springs,US,87.03,overcast clouds,26.3398,-81.7787,"Homewood Suites by Hilton Bonita Springs, FL"
92,267,agua dulce,MX,80.38,broken clouds,18.1333,-94.1333,Hotel Victoria
93,274,sao filipe,CV,73.26,clear sky,14.8961,-24.4956,Hotel Xaguate
94,277,picota,PE,75.69,scattered clouds,-6.9197,-76.3304,Hospedaje Vanessa
95,278,sulya,IN,73.81,overcast clouds,12.5667,75.3833,RIVER ISLAND LODGING
96,279,lorengau,PG,83.71,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
97,281,axim,GH,76.68,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
98,282,bubaque,GW,80.71,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
99,287,guilin,CN,73.51,moderate rain,25.2819,110.2864,Grand 0773 Hotel
100,296,lar,IN,87.04,few clouds,26.2039,83.9717,Ovaiskarni ward Lar
101,304,kutum,SD,77.23,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
102,308,bandrele,YT,76.75,clear sky,-12.9067,45.1914,Les Baobabs
103,309,kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
104,311,porbandar,IN,83.46,broken clouds,21.6422,69.6093,Lords Inn Porbandar
106,313,winneba,GH,75.87,scattered clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
107,314,nkan,GA,73.99,light rain,0.3833,9.7833,Hôtel Santa Barbara
108,318,palmas,BR,80.47,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
109,320,olinda,BR,78.53,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
110,322,mayo,US,80.71,clear sky,38.8876,-76.5119,Resorts Resource Group International
111,324,bow island,CA,76.62,broken clouds,49.8668,-111.3684,Silver Sage Motel
112,326,sarangani,PH,82.63,light rain,5.4033,125.4636,JVL Inn and Cafeteria
